date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:11	17995/17995	---M-Z	200	added ('OK')	text/html	etag:%22932076e0ffd3336cdf341d18ef36ee0f-ssl-df%22	https://www.rammaheshwari.com/	C:/My%20Web%20Sites/Portoflio/www.rammaheshwari.com/index.html	(from )
09:20:11	24/24	---M--	200	added ('OK')	text/plain	etag:%2243f06deb47507588dff03ebd2ffe8bc8-ssl%22	https://www.rammaheshwari.com/robots.txt		(from )
09:20:12	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22c49a05db46ca345a34dc39191806f043-ssl%22	https://www.rammaheshwari.com/favicon.ico	C:/My%20Web%20Sites/Portoflio/www.rammaheshwari.com/favicon.ico	(from https://www.rammaheshwari.com/)
09:20:13	13511/13511	---MCZ	200	added ('OK')	text/css	etag:d173e1ea910fd00f2e846feda8d3b1ed531bfb6a-df	https://d33wubrfki0l68.cloudfront.net/css/b14c4959d2141192dcad9a56bef700e9b47ebb62/css/style.css	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/css/b14c4959d2141192dcad9a56bef700e9b47ebb62/css/style.css	(from https://www.rammaheshwari.com/)
09:20:13	464371/464371	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2010:41:32%20GMT	https://i.ibb.co/C8Wnkrt/pretty-snap-2022-3-29-16-11.png	C:/My%20Web%20Sites/Portoflio/i.ibb.co/C8Wnkrt/pretty-snap-2022-3-29-16-11.png	(from https://www.rammaheshwari.com/)
09:20:14	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2004%20Dec%202023%2004:20:13%20GMT	https://i.postimg.cc/TwY74D31/profile-pic-8.png	C:/My%20Web%20Sites/Portoflio/i.postimg.cc/TwY74D31/profile-pic-8.3.delayed	(from https://www.rammaheshwari.com/)
09:20:14	180301/180301	---M--	200	added ('OK')	image/jpeg	etag:11c695581415bc57a044df42a705c1f49e549b76	https://d33wubrfki0l68.cloudfront.net/19c708670a1f21231c1e2efa6ba38dbf52b15343/3237e/assets/jpeg/dopefolio.jpeg	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/19c708670a1f21231c1e2efa6ba38dbf52b15343/3237e/assets/jpeg/dopefolio.jpg	(from https://www.rammaheshwari.com/)
09:20:15	9730/9730	---MCZ	200	added ('OK')	text/html	etag:%22706c75443bcfaa3321d5ee8edec80ae6-ssl-df%22	https://www.rammaheshwari.com/project-1	C:/My%20Web%20Sites/Portoflio/www.rammaheshwari.com/project-1.html	(from https://www.rammaheshwari.com/)
09:20:15	143195/143195	---M--	200	added ('OK')	image/jpeg	etag:3a7f1cefc2266d41b523d4de72511734f56e716a	https://d33wubrfki0l68.cloudfront.net/9199afe42f789dbddb324ed3edd326e080e693c1/28f54/assets/jpeg/wilsonport.jpeg	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/9199afe42f789dbddb324ed3edd326e080e693c1/28f54/assets/jpeg/wilsonport.jpg	(from https://www.rammaheshwari.com/)
09:20:16	8950/8950	---MCZ	200	added ('OK')	text/html	etag:%225cdef5961c999c5c56709fae56962806-ssl-df%22	https://www.rammaheshwari.com/project-2	C:/My%20Web%20Sites/Portoflio/www.rammaheshwari.com/project-2.html	(from https://www.rammaheshwari.com/)
09:20:16	141879/141879	---M--	200	added ('OK')	image/jpeg	etag:81207bc3773ad9f40b79e99458c09888cdcfec28	https://d33wubrfki0l68.cloudfront.net/61fc288f39a306e3130c72643480ce015dec48ae/e3272/assets/jpeg/boreal-coffee-clone.jpeg	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/61fc288f39a306e3130c72643480ce015dec48ae/e3272/assets/jpeg/boreal-coffee-clone.jpg	(from https://www.rammaheshwari.com/)
09:20:16	8994/8994	---M-Z	200	added ('OK')	text/html	etag:%223eaf74886e49b197b933578624bb199b-ssl-df%22	https://www.rammaheshwari.com/project-3	C:/My%20Web%20Sites/Portoflio/www.rammaheshwari.com/project-3.html	(from https://www.rammaheshwari.com/)
09:20:17	100446/100446	---M--	200	added ('OK')	image/jpeg	etag:86169adc4e1473e8cafea064db117bcb3607aae8	https://d33wubrfki0l68.cloudfront.net/74f6186aaa2b6d5f6ea6da1013abfeb672f5c807/aee81/assets/jpeg/crown-template.jpeg	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/74f6186aaa2b6d5f6ea6da1013abfeb672f5c807/aee81/assets/jpeg/crown-template.jpg	(from https://www.rammaheshwari.com/)
09:20:18	9009/9009	---MCZ	200	added ('OK')	text/html	etag:%2295bd23990af9ae5b7683aa81861990ea-ssl-df%22	https://www.rammaheshwari.com/project-4	C:/My%20Web%20Sites/Portoflio/www.rammaheshwari.com/project-4.html	(from https://www.rammaheshwari.com/)
09:20:18	565/565	---M--	200	added ('OK')	image/png	etag:8fdb4cb86e5a1fbee4083d21d89dda79f2c5a7d5	https://d33wubrfki0l68.cloudfront.net/7f29579dde49e02480372aa49f7189c5536b0118/34b92/assets/png/linkedin-ico.png	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/7f29579dde49e02480372aa49f7189c5536b0118/34b92/assets/png/linkedin-ico.png	(from https://www.rammaheshwari.com/)
09:20:18	535/535	---M--	200	added ('OK')	image/png	etag:a8f95aa1de2661f5fa4202a8c5a302811785f2d4	https://d33wubrfki0l68.cloudfront.net/5557d5a11584d7201a38ee1a95200f57a4cc0f88/15085/assets/png/github-ico.png	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/5557d5a11584d7201a38ee1a95200f57a4cc0f88/15085/assets/png/github-ico.png	(from https://www.rammaheshwari.com/)
09:20:18	1129/1129	---M--	200	added ('OK')	image/png	etag:9e2f22492825176ebc235f559b26b4eaf65a3c21	https://d33wubrfki0l68.cloudfront.net/ef67339f7016cb09ba66366c1dc9145ac69f2a21/feca1/assets/png/twitter-ico.png	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/ef67339f7016cb09ba66366c1dc9145ac69f2a21/feca1/assets/png/twitter-ico.png	(from https://www.rammaheshwari.com/)
09:20:18	582/582	---M--	200	added ('OK')	image/png	etag:344b99b0e80205defd0fb4953d2c3f348d848014	https://d33wubrfki0l68.cloudfront.net/c7b1e51b8c75a239d68af3d42866666580f390ec/dcc7c/assets/png/blog-ico.png	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/c7b1e51b8c75a239d68af3d42866666580f390ec/dcc7c/assets/png/blog-ico.png	(from https://www.rammaheshwari.com/)
09:20:18	832/832	---M--	200	added ('OK')	image/png	etag:6c641eee454e0138406056653ab3b251febe5c44	https://d33wubrfki0l68.cloudfront.net/493f1aa6da674c05bc606ba5b9e8092b881e8626/67c76/assets/png/yt-ico.png	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/493f1aa6da674c05bc606ba5b9e8092b881e8626/67c76/assets/png/yt-ico.png	(from https://www.rammaheshwari.com/)
09:20:19	1340/1340	---M-Z	200	added ('OK')	application/javascript	etag:7df84e7d51065446d8bfb231bc81d7841e2af554-df	https://d33wubrfki0l68.cloudfront.net/js/96f5c0d4b9bdbf07570efd8e94cb7db7a5191a01/index.js	C:/My%20Web%20Sites/Portoflio/d33wubrfki0l68.cloudfront.net/js/96f5c0d4b9bdbf07570efd8e94cb7db7a5191a01/index.js	(from https://www.rammaheshwari.com/)
09:20:19	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Dec%202023%2004:20:19%20GMT	http://code.tidio.co/hkirvl5pqs5cjjawh11xutnzjgtg9tfi.js	C:/My%20Web%20Sites/Portoflio/code.tidio.co/hkirvl5pqs5cjjawh11xutnzjgtg9tfi.12.delayed	(from https://www.rammaheshwari.com/)
